,isolation_forest,lof,ocsvm,elliptic_envelope,dbscan,hdbscan,kmeans,gmm,autoencoder,vae
Amount_ZScore_Account,0.30260989078069406,0.18974478102476802,0.1347487704096041,0.3321777127747757,0.13205581559599885,0.3171563581947403,0.22977230331233395,0.1658664606151317,0.9399486915588089,0.28018321716036954
Hour_sin,0.26956000484440723,0.031632361984433276,0.041789675832563385,0.00027269817314571547,0.007170033606812724,0.04366324274891154,0.032339961127080576,0.04015466593695582,0.14774307204070466,0.015319992584595498
Hour_cos,0.5239813341311969,0.006020020719642011,0.014446105045606762,0.023596107236270068,0.008517081870944042,0.016397990388181,0.013310748152260164,0.06087177605421401,0.20780887645815316,0.010410860579687299
DOW_sin,0.4915118643264258,0.027818066399400765,0.00012209571467183556,0.012801532121076677,0.0007797303670844827,0.039952531983826915,0.005096900075480648,0.006050962006564587,0.1636915218950088,0.029173598728257217
DOW_cos,0.12435637169100118,0.12638704955526,0.030595815397904104,0.03030479889663922,0.000591965617697528,0.08893098731404665,0.03380178682214964,0.05908641979265189,0.058562420870597466,0.09070693491330288
CustomerTxnCountSoFar,0.40293865620757474,0.024014006377637412,0.22277550959242975,0.3264591449483212,0.020536329079963455,0.018038698478153436,0.26277748071620904,0.6934037673388735,0.20375627074012456,0.1063438195417215
SpendCV_Account,0.26351973975806775,0.008967027639411856,0.19513747446601618,0.2579338199676576,0.005158812509109583,0.07018045952727099,0.26866593897661034,0.6531281295999857,0.15424100731031273,0.06601322172409464
ElevatedLoginFlag,0.4263245767321891,0.24647023103493668,0.09150376518476616,0.1679756810288253,0.0025736939176300372,0.20055162482012276,0.09356215298099617,0.2372585625721555,0.05074908598842036,0.20463337138501095
ATM_Credit_InteractionFlag,0.3098889805347374,0.058335073220886956,0.018711866535543752,0.1289437321153805,0.029337312088678912,0.05801658711537289,0.033670248010206884,0.12255447369655453,0.035757110664272375,0.04364141293902427
DeviceSharedAccounts_Prior,0.46388108238083414,0.08749703050433988,0.10752204887313054,0.16297125248626976,0.021756320064541132,0.046560970923930765,0.09131321214092114,0.33886824728466475,0.1468659884115915,0.12695734776155534
IPSharedAccounts_Prior,0.4085648800010066,0.13721273736686965,0.17014068739908342,0.17774089505573235,0.004894989543935958,0.095849136201476,0.08055905503975995,0.3788027600523054,0.3135794237645436,0.15566147395781751
MerchantSharedAccounts_Prior,0.29296545201210383,0.11323260184957809,0.1782861422262107,0.231200692276745,0.019997708616332738,0.06627727491186815,0.12723656901277997,0.4648394677552885,0.17070611812516748,0.17020184033000707
Location_Freq,0.5379527364704002,0.07647853288007474,0.0071347427728791985,0.006384814783683731,0.012843058962232982,0.05471905829136611,0.02014589287466251,0.016167397927125196,0.3761827666311374,0.05349786709509581
