,CustomerAge,LoginAttempts,TimeSinceLastTxn,ElevatedLoginFlag,DOW_cos,Channel_Branch,IPSharedAccounts_Prior,SpendCV_Account,CustomerTxnCountSoFar,Amount_minus_ExpandingMedian,Expanding_MedianAmount,LocationNoveltyFlag,Location_enc,DeviceTxnCount,MerchantSharedAccounts_Prior,DeviceSharedAccounts_Prior,DOW_sin,Hour_cos,Location_Freq,DeviceNoveltyFlag
Expanding_MedianAmount,0.03090375735122721,0.022656288677866017,0.012635202090590667,0.023298525996753888,-0.012490980145972492,0.01210827207731846,-0.004678815473756474,-0.10407639468387075,0.012516876747861871,-0.5068512041047221,1.0,0.023865303779010773,-0.012944732219490376,-0.03353260076618695,0.022117616151406286,-0.01253732903796756,-0.005693557939675636,-0.011950182034299595,0.009776384331967366,-0.017395504854816665
LocationNoveltyFlag,0.005024028459101304,0.0005706285913937035,0.058399881397593965,-5.074216833973422e-05,0.009400352166700921,0.006330619343918013,-0.09998662523591455,-0.14669690142934094,-0.1730419766184621,-0.0028728373726638404,0.023865303779010773,1.0,0.003518530855492238,-0.02656120761796952,-0.12446544111328865,-0.08789908680959001,-0.0430822668003237,-0.015698926936421265,0.007383199650338345,0.0077514569653120745
Location_enc,-0.02813336451671145,-0.01988328083902593,-0.009195194571716359,-0.02042744393372402,0.013150300384674083,-0.0011073904895378592,0.0181043049869959,-0.008491813337838428,-0.00987337734368635,0.010731758967645322,-0.012944732219490376,0.003518530855492238,1.0,0.008731303748140233,0.004672999682517655,-0.012443565858513956,-0.004499974389141393,-0.020350960835630916,-0.07050064792769553,1.1946029506447518e-05
DeviceTxnCount,-0.017563587907408664,-0.001802318109604221,-0.021517568976856662,-0.0018790871230341755,-0.022483696145194448,-0.003029994696066787,-0.004035068093731652,0.016337491274339176,0.002234855939209637,-0.0035912459355593616,-0.03353260076618695,-0.02656120761796952,0.008731303748140233,1.0,-0.008662453949127338,0.5021632708397916,-0.011358586173485055,0.009181397697956863,0.027281169128415456,-0.03484243818068089
MerchantSharedAccounts_Prior,0.021272652863272828,-0.027785627660146896,0.1706299891942949,-0.02765046098686425,-0.01705591519742069,-0.003381317903645085,0.6403678390758404,0.5209092982514467,0.6564002023234174,0.006488257642744666,0.022117616151406286,-0.12446544111328865,0.004672999682517655,-0.008662453949127338,1.0,0.6012193388067315,0.009942503725119577,0.022887181795801563,-0.029152507728906107,-0.03163831243625159
DeviceSharedAccounts_Prior,0.023307063607720918,-0.032251755488659425,0.09821881555315928,-0.03213381761054564,-0.01818025714852734,-0.0006343673935315752,0.45292286248792274,0.38938413697995056,0.47013808048580497,-0.0011170766954619043,-0.01253732903796756,-0.08789908680959001,-0.012443565858513956,0.5021632708397916,0.6012193388067315,1.0,-0.0029502336279325523,0.024636978952393217,-0.0011294647620396414,-0.04061049738440934
DOW_sin,0.009753631645556971,0.038635177258349036,-0.010361283555371064,0.038328093036246534,-0.052517179298320914,-0.03962174949788454,0.02837973382947614,-0.0037858986720206616,0.007441131636662094,0.014144128522292864,-0.005693557939675636,-0.0430822668003237,-0.004499974389141393,-0.011358586173485055,0.009942503725119577,-0.0029502336279325523,1.0,-0.009166022718309335,0.03603817189742029,-0.0042420643802329044
Hour_cos,-0.0049766647827440445,0.011743269547082205,-0.011743310037244981,0.011182275955272013,-0.025072884741179923,0.007676476742471969,0.020910774940061428,0.02991966591559453,0.06352988775449221,-0.0011229570631051751,-0.011950182034299595,-0.015698926936421265,-0.020350960835630916,0.009181397697956863,0.022887181795801563,0.024636978952393217,-0.009166022718309335,1.0,-0.00191703773734167,0.011927101175393556
Location_Freq,-0.02972792444457684,0.030089807715279082,0.0016728862669800366,0.029729798778686825,0.009493876724780276,0.0012897297289341458,-0.030923670448002028,-0.020470845004095142,-0.012134060374229958,-0.013212698233248417,0.009776384331967366,0.007383199650338345,-0.07050064792769553,0.027281169128415456,-0.029152507728906107,-0.0011294647620396414,0.03603817189742029,-0.00191703773734167,1.0,0.02273492505328943
DeviceNoveltyFlag,-0.03534535051573179,-0.010805469614696122,0.024701154020857,-0.011205256165572676,-0.0038082642862857833,0.026060244559059677,-0.016572503599389755,-0.056617521420054905,-0.0636273698954716,0.021600320248302662,-0.017395504854816665,0.0077514569653120745,1.1946029506447518e-05,-0.03484243818068089,-0.03163831243625159,-0.04061049738440934,-0.0042420643802329044,0.011927101175393556,0.02273492505328943,1.0
