TransactionID,AccountID,reconstruction_mse,reconstruction_mae,split
TX001041,AC00024,0.09778647,0.23720202,val
TX001308,AC00024,0.23451138,0.37575284,val
TX002214,AC00024,0.22518079,0.37511337,train
TX001387,AC00024,0.19023447,0.3257271,train
TX001807,AC00025,0.24796051,0.38380632,train
TX001064,AC00025,1.0804046,0.640673,train
TX000283,AC00026,0.32748306,0.42918852,train
TX000638,AC00026,0.2373904,0.30419433,val
TX000698,AC00026,0.13479221,0.27787063,train
TX000240,AC00026,0.13613005,0.2816956,train
TX001513,AC00026,0.42008686,0.42816362,train
TX001927,AC00026,0.30878347,0.40219718,train
TX000791,AC00027,0.21998957,0.33946648,train
TX002377,AC00027,0.23037069,0.35811955,train
TX001258,AC00027,0.5743526,0.56219065,train
TX001438,AC00028,0.15171532,0.2710966,val
TX001580,AC00028,0.2867064,0.3568223,train
TX002415,AC00028,0.42827627,0.4876129,train
TX001220,AC00029,0.19138987,0.2964483,train
TX000350,AC00029,0.13863182,0.2842242,train
TX001860,AC00029,0.33543742,0.41698572,train
TX000411,AC00029,0.29241544,0.38363287,train
TX000772,AC00029,0.2737461,0.39994526,train
TX002087,AC00029,0.31709892,0.46689376,val
TX001347,AC00030,0.23435962,0.38334373,train
TX001474,AC00030,0.15754357,0.30391207,train
TX001920,AC00030,0.3717769,0.42955676,train
TX002498,AC00030,0.3032994,0.40161228,train
TX001785,AC00030,0.17526066,0.30637977,train
TX000702,AC00030,0.12525009,0.2707292,val
TX000781,AC00030,0.3171763,0.4259197,train
TX001616,AC00030,0.28150192,0.37965193,train
TX000560,AC00030,0.3034002,0.42122546,train
TX002368,AC00032,0.26584688,0.38662085,train
TX001137,AC00032,0.46630245,0.39528668,val
TX002044,AC00032,0.35357654,0.3852856,train
TX000754,AC00032,0.30086243,0.37614688,val
TX001034,AC00032,0.3302125,0.41803983,train
TX001311,AC00032,0.18313698,0.3465623,train
TX000643,AC00032,0.2161829,0.3630955,val
TX002427,AC00032,0.293933,0.4417061,train
TX001161,AC00032,0.22445382,0.35723457,val
TX000532,AC00033,0.09893219,0.23037677,train
TX002072,AC00033,0.24347211,0.37814465,train
TX002247,AC00033,0.19503191,0.33561847,val
TX000978,AC00033,0.61253023,0.5506292,val
TX002436,AC00033,0.28628045,0.4202732,train
TX000286,AC00033,0.19639847,0.34740677,train
TX000348,AC00034,0.26012138,0.39343208,train
TX001916,AC00034,0.18708882,0.32323086,train
TX002061,AC00034,0.17668703,0.3436183,train
TX000675,AC00034,0.26166293,0.37693977,train
TX000176,AC00035,0.24277762,0.29550177,train
TX000716,AC00035,0.30782026,0.43423218,train
TX001840,AC00035,0.42171943,0.5019417,val
TX002267,AC00035,0.39463288,0.4461391,train
TX000300,AC00035,0.26048777,0.3721781,train
TX000878,AC00035,0.18268633,0.32805178,train
TX000989,AC00035,0.26329494,0.3726861,train
TX001590,AC00035,0.3224335,0.42547596,train
TX001296,AC00035,0.28244603,0.39600596,val
TX000470,AC00036,0.114364594,0.23435327,train
TX001316,AC00036,0.22877467,0.34040353,val
TX002237,AC00036,0.17299491,0.33321726,train
TX001814,AC00036,0.30615988,0.4190218,train
TX000181,AC00036,0.3155121,0.43614513,val
TX000766,AC00037,0.26290864,0.32812816,train
TX002139,AC00037,0.29941753,0.43003052,train
TX002301,AC00038,0.2751399,0.40874872,train
TX002125,AC00039,0.52646345,0.46766937,train
TX000597,AC00039,0.41259214,0.39393443,train
TX000496,AC00039,0.21998575,0.38159263,train
TX000996,AC00039,0.2588878,0.39034867,train
TX000397,AC00039,0.17777169,0.33375937,train
TX000824,AC00039,0.3116041,0.43951795,val
TX000594,AC00039,0.3774195,0.46001604,train
TX002231,AC00040,0.21187946,0.33392772,val
TX000351,AC00040,0.18254173,0.3263267,val
TX001145,AC00040,0.41034326,0.44446546,val
TX000441,AC00040,0.46283025,0.5076157,train
TX001517,AC00040,0.28807184,0.44616506,train
TX002049,AC00041,0.1208689,0.23678164,train
TX001397,AC00041,0.22076006,0.3592366,train
TX000549,AC00041,0.5120915,0.571792,train
TX001066,AC00041,0.21652514,0.3316186,val
TX000026,AC00041,0.50503606,0.53636026,train
TX001638,AC00041,0.24307355,0.3950735,train
TX000253,AC00041,0.18504843,0.33119822,train
TX002320,AC00042,0.14960931,0.26478845,train
TX002217,AC00042,0.26964676,0.34833068,train
TX001480,AC00042,0.11968566,0.27605912,train
TX002478,AC00042,0.14424203,0.29245496,train
TX001376,AC00042,0.3017761,0.42815325,train
TX000524,AC00043,0.20320071,0.3450314,train
TX002456,AC00043,0.24627745,0.3583408,train
TX002117,AC00043,0.45163366,0.42941886,val
TX000727,AC00043,0.3743029,0.46644345,train
TX001172,AC00044,0.24053155,0.35729927,val
TX001073,AC00045,0.30213684,0.39862138,train
TX000736,AC00045,0.2882792,0.39373866,val
TX000752,AC00045,0.5800821,0.6071181,train
TX000904,AC00045,0.3458849,0.45317182,train
TX000546,AC00045,0.24653244,0.397816,train
TX000734,AC00046,0.17176886,0.32575724,val
TX002418,AC00046,0.8135424,0.5272395,train
TX002437,AC00046,0.18460348,0.32692266,val
TX000194,AC00047,0.44276187,0.560798,val
TX000224,AC00047,0.44594616,0.5206616,train
TX001879,AC00047,0.37002066,0.46549544,train
TX002505,AC00047,0.33261356,0.4320946,train
TX002063,AC00048,0.31494975,0.43933076,train
TX001707,AC00048,0.30169094,0.41315576,train
TX002336,AC00048,0.85456806,0.6355798,val
TX000669,AC00049,0.3999758,0.4680604,val
TX000326,AC00049,0.57625765,0.54807377,train
TX000817,AC00050,0.12029465,0.22680801,train
TX000932,AC00050,0.28134376,0.41556287,train
TX001758,AC00050,1.7797644,0.80664366,val
TX002291,AC00050,0.15425351,0.306947,val
TX001686,AC00050,0.25225484,0.40137523,train
TX001935,AC00051,0.33008122,0.44695824,val
TX000595,AC00051,0.35919666,0.36827254,train
TX001333,AC00051,0.3318198,0.4427167,train
TX002486,AC00051,0.3740783,0.44565827,train
TX001148,AC00052,0.40479735,0.4656034,train
TX000505,AC00052,0.50891787,0.47815803,val
TX001054,AC00052,0.23536095,0.375592,train
TX001241,AC00053,0.11241402,0.24905603,val
TX000072,AC00053,0.20258188,0.3074333,train
TX001236,AC00053,0.24336062,0.4000646,train
TX001743,AC00053,0.34210488,0.33792648,train
TX000129,AC00053,0.28292516,0.43458587,train
TX000807,AC00053,0.30785826,0.4556881,train
TX000406,AC00053,0.25535256,0.37946162,train
TX000659,AC00054,0.09517762,0.21273296,train
TX001548,AC00054,0.12698996,0.26014814,train
TX001813,AC00054,0.32396328,0.4339818,train
TX000478,AC00054,0.37208417,0.4330903,train
TX002292,AC00054,0.39873528,0.48058328,train
TX002080,AC00054,0.24317518,0.35926384,train
TX000859,AC00054,0.20441565,0.35538664,train
TX002470,AC00054,0.40480828,0.5091398,train
TX002103,AC00054,0.3999782,0.44561997,train
TX002137,AC00055,0.24829373,0.40323663,train
TX000054,AC00055,0.4614917,0.39607015,train
TX000276,AC00055,0.16997375,0.29996434,val
TX000229,AC00055,0.21899824,0.34488615,train
TX000339,AC00055,0.33470014,0.4119791,train
TX000647,AC00056,0.15160762,0.27590287,val
TX001417,AC00056,0.2360868,0.36844245,train
TX002258,AC00056,0.21313311,0.3462177,train
TX001611,AC00056,0.21071099,0.36051917,train
TX002204,AC00056,0.20098184,0.36064065,train
TX002269,AC00056,0.27172935,0.42506844,train
TX001564,AC00057,0.20933384,0.3471829,train
TX002493,AC00057,0.50174636,0.49932322,val
TX000028,AC00057,0.19419011,0.33259743,train
TX000592,AC00057,0.25013775,0.35845727,train
TX001106,AC00057,0.26527125,0.38561642,train
TX000640,AC00058,0.2985033,0.4439928,train
TX002106,AC00058,0.18018925,0.29250968,train
TX002477,AC00058,0.25506234,0.38978395,train
TX000876,AC00058,0.16216092,0.30290833,val
TX001603,AC00058,0.19554971,0.3193709,train
TX002476,AC00058,0.36666784,0.3934732,val
TX002075,AC00058,0.23162583,0.33719864,train
TX001431,AC00059,0.30492112,0.3850784,train
TX001828,AC00059,0.27335137,0.3626002,train
TX001577,AC00059,0.31303242,0.36514613,train
TX002193,AC00059,0.21717928,0.38493815,train
TX001186,AC00060,0.15186091,0.2612718,train
TX001485,AC00060,0.2563624,0.38013947,train
TX000033,AC00060,0.2111488,0.32168248,train
TX001299,AC00060,0.15861563,0.31592897,train
TX001115,AC00061,0.18643609,0.32409602,train
TX001447,AC00061,0.18857987,0.30327663,train
TX001110,AC00061,0.14195535,0.29692957,train
TX000775,AC00061,0.17454937,0.31972235,train
TX000923,AC00061,0.35898677,0.41324607,train
TX001926,AC00062,0.4832497,0.5092672,train
TX001003,AC00062,0.21873988,0.333258,train
TX000164,AC00062,0.12946759,0.27322006,val
TX002352,AC00063,0.14125103,0.25242707,train
TX001872,AC00063,0.37088493,0.4315725,train
TX000363,AC00063,0.4115248,0.51501673,val
TX000893,AC00063,0.34250972,0.46800655,train
TX002392,AC00063,0.25763127,0.385286,train
TX001622,AC00063,0.17619964,0.33414713,val
TX001126,AC00063,0.20950848,0.37824163,val
TX001378,AC00063,0.46447805,0.42904162,train
TX001664,AC00063,0.2549471,0.37635106,val
TX000467,AC00063,0.48200542,0.5347411,train
TX002165,AC00064,0.13185897,0.26657668,train
TX002338,AC00064,0.23036677,0.31847078,train
TX002135,AC00064,0.15075324,0.28661466,train
TX001937,AC00064,0.19767211,0.33146605,train
TX002011,AC00065,0.4185929,0.51774144,train
TX001924,AC00065,0.18223663,0.3005079,train
TX001070,AC00065,0.20842855,0.34044284,val
TX000841,AC00065,0.28180277,0.40556696,train
TX002153,AC00065,0.15885235,0.3227845,train
TX002006,AC00066,0.24786682,0.36897936,train
TX002107,AC00066,0.12700677,0.24796273,train
TX000124,AC00066,0.5679412,0.46589395,train
TX002312,AC00066,0.2355618,0.36801845,train
TX000519,AC00067,0.2089894,0.3099303,train
TX000726,AC00067,0.24031708,0.39470083,train
TX002419,AC00067,0.660619,0.6020082,train
TX001037,AC00067,0.46368536,0.5728876,train
TX000309,AC00067,0.46840692,0.49404854,train
TX001428,AC00067,0.16447546,0.31049266,train
TX001698,AC00067,0.20301855,0.36176643,train
TX000853,AC00068,0.2914506,0.4194446,train
TX001147,AC00068,0.19070789,0.31998682,train
TX001461,AC00068,0.48771423,0.5179098,train
TX000111,AC00068,0.5037462,0.6004491,train
TX002503,AC00069,0.35576293,0.42773163,val
TX000008,AC00069,0.24338134,0.32258815,train
TX002027,AC00069,0.23468676,0.35011235,train
TX001404,AC00069,0.26380143,0.37502503,val
TX000373,AC00069,0.45086595,0.4570069,val
TX002417,AC00069,0.19700314,0.3403589,train
TX002120,AC00069,0.23688851,0.4096618,train
TX002481,AC00070,0.21515739,0.29814428,train
TX001297,AC00070,0.20712337,0.34992218,train
TX001932,AC00070,0.25856173,0.394308,train
TX000004,AC00070,0.24635072,0.3769514,train
TX001255,AC00070,0.41150358,0.42900068,val
TX000219,AC00070,0.30683112,0.4350106,train
TX001004,AC00070,0.3131747,0.43126813,train
TX000443,AC00070,0.16479146,0.33836696,train
TX002360,AC00071,0.14941265,0.2885843,train
TX001865,AC00071,0.223038,0.32473227,train
TX001773,AC00071,0.30031922,0.39030126,val
TX000658,AC00071,0.2506677,0.36084163,val
TX002209,AC00071,0.29229125,0.3789538,train
TX000686,AC00071,0.55167466,0.45151618,train
TX001885,AC00071,0.53067946,0.42171803,train
TX001248,AC00071,0.44573814,0.52489936,train
TX000448,AC00072,0.18971145,0.29650065,train
TX002094,AC00072,0.18284063,0.34541664,train
TX000151,AC00072,0.21760459,0.34062934,train
TX001444,AC00072,0.27465293,0.3994237,train
TX000257,AC00073,0.2213291,0.34953782,train
TX001881,AC00073,0.22422165,0.33509207,train
TX002402,AC00073,0.26328397,0.38713136,train
TX001867,AC00073,0.15858154,0.28745502,train
TX001249,AC00073,0.19424103,0.35965875,train
TX000782,AC00074,0.10438039,0.22683436,train
TX001377,AC00074,0.12809436,0.2705592,train
TX000463,AC00074,0.34246054,0.4168042,train
TX000494,AC00075,0.20461257,0.33682606,train
TX001415,AC00075,0.255384,0.36019936,train
TX002386,AC00075,0.15037195,0.2923819,val
TX000103,AC00075,0.25431812,0.38418618,train
TX001009,AC00075,0.2241948,0.37582588,train
TX000241,AC00076,0.15399627,0.28011385,train
TX000909,AC00076,0.27588284,0.3631861,train
TX002351,AC00076,0.17772901,0.31549054,train
TX001770,AC00076,0.2249935,0.3311712,train
TX002090,AC00076,0.27092743,0.4082153,train
TX000831,AC00076,0.22312859,0.33097076,train
TX001913,AC00076,0.27128044,0.34479254,train
TX002145,AC00077,0.47509152,0.4312942,train
TX000184,AC00077,0.3587832,0.40342396,train
TX000335,AC00077,0.28276405,0.39406726,train
TX001359,AC00077,0.22085164,0.3317514,train
TX000533,AC00077,0.29170653,0.3933074,train
TX000826,AC00077,0.2020724,0.32498267,val
TX000611,AC00078,0.17607176,0.3292056,train
TX002434,AC00078,0.090910055,0.21611293,train
TX001331,AC00078,0.24462306,0.4057116,train
TX000779,AC00078,0.27298647,0.4048887,train
TX001076,AC00078,0.3387151,0.46134865,val
TX000836,AC00078,0.47731355,0.52354324,val
TX001265,AC00079,0.13417587,0.25342795,train
TX001800,AC00079,0.1693402,0.31383818,val
TX002390,AC00079,0.21441062,0.3436607,train
TX002443,AC00079,0.18070242,0.34115478,train
TX001341,AC00079,0.2095273,0.36586642,train
TX001093,AC00080,0.13393016,0.28270942,val
TX000504,AC00080,0.09296031,0.24319479,train
TX002070,AC00080,0.27319184,0.4067868,train
TX002134,AC00080,0.35204783,0.49065274,train
TX000438,AC00080,0.25004774,0.35962072,train
TX001448,AC00080,0.22924837,0.3311426,train
TX002093,AC00081,0.3530518,0.440023,val
TX001584,AC00081,0.3350313,0.44430068,train
TX002339,AC00081,0.18241704,0.32767814,val
TX002129,AC00082,0.19348745,0.28572923,train
TX000984,AC00082,0.37153742,0.41509226,train
TX002096,AC00082,0.22923866,0.39735043,train
TX001022,AC00083,0.1946229,0.33086157,train
TX001305,AC00083,0.56983465,0.54541713,train
TX001527,AC00083,0.313169,0.4224915,train
TX000899,AC00083,0.60832316,0.5870672,train
TX000810,AC00083,0.40174848,0.48106563,val
TX000557,AC00083,0.36356205,0.46113256,train
TX000614,AC00084,0.16248417,0.25591314,val
TX002181,AC00084,1.6712061,0.8805149,val
TX000015,AC00085,0.43943596,0.500701,train
TX001379,AC00085,0.16300939,0.27832192,val
TX001898,AC00085,0.2856852,0.37944123,train
TX000119,AC00085,0.18304417,0.3375814,train
TX002255,AC00085,0.75131184,0.56054103,val
TX000261,AC00085,0.15127994,0.3005788,train
TX002262,AC00086,0.36019662,0.44886175,val
TX000864,AC00086,0.25267938,0.36356506,train
TX000566,AC00086,0.7528471,0.69124717,train
TX001256,AC00086,0.32457903,0.44988322,val
TX001854,AC00086,0.3608637,0.4604684,train
TX000554,AC00086,0.26855594,0.37401116,val
TX001084,AC00086,0.21198608,0.37470847,train
TX001623,AC00087,0.14213131,0.27887496,train
TX000287,AC00087,0.21807648,0.3568766,train
TX000155,AC00087,0.19982527,0.33976716,train
TX001738,AC00087,0.3713181,0.4424413,val
TX000368,AC00087,0.13253042,0.2803708,train
TX002025,AC00087,0.2889287,0.35604244,train
TX001206,AC00087,0.24545904,0.37271386,train
TX000331,AC00087,0.18829991,0.33795944,train
TX001731,AC00087,0.46177942,0.4477009,train
TX001984,AC00088,0.2223197,0.36237228,train
TX002400,AC00088,0.19476074,0.32622886,val
TX001062,AC00089,0.094927214,0.22172235,train
TX002500,AC00089,0.2536315,0.3796676,train
TX002232,AC00089,0.2718462,0.35468334,train
TX001364,AC00089,0.4921804,0.39763418,val
TX002266,AC00089,0.16797839,0.30845112,train
TX001235,AC00090,0.11610603,0.23713134,val
TX000993,AC00090,0.9286737,0.6614183,val
TX000385,AC00090,0.1893584,0.32460395,train
TX001420,AC00090,0.21678941,0.3681646,train
TX001440,AC00090,0.24680926,0.3760943,train
TX001662,AC00090,0.22498211,0.3543078,train
TX002122,AC00090,0.26214364,0.3889603,train
TX001396,AC00090,0.20342924,0.36893424,train
TX000894,AC00090,0.23307502,0.3898276,val
TX001530,AC00091,0.189641,0.3401925,train
TX001307,AC00091,0.15862437,0.30114198,train
TX001676,AC00091,0.39260152,0.45486885,train
TX000517,AC00092,0.19837728,0.2910442,train
TX000846,AC00092,0.33962193,0.3942798,train
TX000120,AC00092,0.1661957,0.3056075,train
TX000668,AC00092,0.22844087,0.37868312,val
TX000776,AC00092,0.13375992,0.27095214,val
TX000366,AC00092,0.21006139,0.35966313,val
TX001402,AC00092,0.16202247,0.3005091,train
TX001035,AC00092,0.43876037,0.5185553,val
TX000773,AC00093,0.48585203,0.4568644,train
TX002277,AC00093,1.5754077,0.77691734,train
TX000541,AC00093,1.6057427,0.74128723,val
TX001182,AC00093,0.52330786,0.5093539,val
TX000449,AC00093,0.32475096,0.41706443,train
TX001229,AC00093,0.36319575,0.43675306,train
TX001551,AC00093,0.3532209,0.45990053,train
TX000290,AC00093,0.31314814,0.43691236,train
TX001224,AC00093,0.20448689,0.35428214,train
TX001819,AC00094,0.15252043,0.25138456,train
TX001349,AC00094,0.23617068,0.36875704,train
TX002042,AC00094,0.22454597,0.39730722,train
TX000881,AC00094,0.30481976,0.39525357,val
TX002261,AC00095,0.2793123,0.40877268,train
TX002221,AC00095,0.36775285,0.43022877,train
TX000506,AC00095,0.35551906,0.38785756,val
TX000023,AC00095,0.40298527,0.48981443,train
TX000599,AC00095,0.21257937,0.36016425,train
TX002510,AC00095,0.09651764,0.24064885,train
TX001134,AC00095,0.42032424,0.5173689,train
TX001602,AC00095,0.3351925,0.43482932,train
TX002318,AC00096,0.3541459,0.43975946,train
TX000217,AC00096,0.15978521,0.262862,train
TX002143,AC00096,0.28697544,0.37080467,train
TX002396,AC00097,0.1254382,0.24895753,val
TX001355,AC00097,0.8195655,0.5555227,val
TX001216,AC00097,0.35554442,0.44545555,val
TX002131,AC00098,0.18048312,0.3150783,train
TX002381,AC00098,0.88685375,0.52271616,train
TX000086,AC00098,0.9151619,0.74980104,train
TX001372,AC00098,1.2190616,0.6942738,train
TX000521,AC00098,0.57086486,0.49273694,train
TX001735,AC00099,0.41169763,0.5145866,train
TX002110,AC00099,0.24516009,0.36988568,train
TX000187,AC00099,0.590452,0.59608346,train
TX000192,AC00099,0.8115289,0.57805866,val
TX001949,AC00100,0.16910847,0.3058196,train
TX001048,AC00100,0.18959315,0.3095718,train
TX001151,AC00100,0.26858795,0.318652,val
TX002194,AC00101,0.20973845,0.3014749,val
TX001488,AC00101,0.2406045,0.3442582,train
TX000680,AC00101,0.2925688,0.3610665,train
TX000721,AC00102,0.38546988,0.5064837,train
TX001613,AC00102,0.24401394,0.34262607,train
TX001822,AC00102,0.32070768,0.39409894,val
TX000788,AC00102,0.14315979,0.29440203,val
TX001081,AC00102,0.1661283,0.32979637,train
TX002040,AC00103,0.2251456,0.364421,val
TX001240,AC00103,0.21755387,0.33833104,train
TX000503,AC00103,0.1856326,0.341292,val
TX002406,AC00103,0.23479436,0.36729,train
TX001796,AC00103,0.23574288,0.3633797,train
TX001407,AC00104,0.21732044,0.35917306,train
TX001117,AC00105,0.20018959,0.32642627,train
TX001598,AC00105,0.28069553,0.39992723,train
TX002159,AC00105,0.48139033,0.50135744,train
TX000175,AC00106,0.20274524,0.3363517,train
TX000319,AC00106,0.15575734,0.2885433,train
TX002024,AC00106,0.15959267,0.2785948,train
TX000091,AC00106,0.23931444,0.38153797,train
TX000844,AC00106,0.12322079,0.268526,train
TX001645,AC00106,0.1568586,0.3067526,val
TX000785,AC00107,0.28098267,0.41132736,train
TX000341,AC00107,0.5689247,0.5579611,train
TX000198,AC00107,2.0265508,0.91931856,train
TX001185,AC00107,0.68437105,0.5839874,train
TX000603,AC00107,0.42606696,0.46108904,train
TX001734,AC00108,0.5524711,0.5551504,train
TX001697,AC00108,0.3210222,0.4031933,train
TX000218,AC00108,0.26648355,0.3959806,train
TX001203,AC00108,0.17323408,0.3143124,train
TX000144,AC00108,0.18682873,0.32439134,train
TX001159,AC00108,0.21312979,0.36065984,train
TX000907,AC00109,0.13986973,0.25547338,train
TX001165,AC00109,0.31294507,0.3925667,train
TX000746,AC00110,0.23840596,0.37123543,train
TX001330,AC00110,0.1308389,0.25783876,train
TX002150,AC00110,0.49918526,0.5582396,train
TX000298,AC00110,0.36737505,0.45063084,train
TX002064,AC00110,0.47579122,0.49687776,train
TX000074,AC00110,0.3631208,0.46503466,train
TX000747,AC00110,0.20238224,0.35801846,train
TX001339,AC00110,0.21683006,0.38120744,val
TX000975,AC00111,0.09479946,0.21347983,train
TX001755,AC00111,0.448436,0.53576034,val
TX000158,AC00111,0.2792004,0.4301795,val
TX000703,AC00111,0.15890893,0.2891761,train
TX002404,AC00111,0.5608742,0.54994684,train
TX000939,AC00111,0.5017987,0.51973855,train
TX001481,AC00111,0.4206868,0.50205255,val
TX001563,AC00112,0.2630738,0.36556226,train
TX000190,AC00113,0.3363689,0.37325725,train
TX001360,AC00113,0.24928379,0.37359217,train
TX000201,AC00113,0.30622023,0.35664496,train
TX002020,AC00113,0.20870636,0.36700183,train
TX000802,AC00114,0.16149537,0.31791896,train
TX000561,AC00114,0.32425168,0.41759244,train
TX001617,AC00114,0.37491807,0.4384037,train
TX000142,AC00114,0.4748888,0.5211557,val
